Cleaned_Title,Cleaned_Text
rocket lab awarded nasa study contract to explore bringing rock samples from mars to earth for the first time,the study proposes using rocket labs vertically integrated technologies to retrieve samples from the red planet for the first time in history as part of nasas mars sample return program long beach calif october 07 2024business wirerocket lab usa inc nasdaq rklb rocket lab or the company a global leader in launch services and space systems today announced the company has been selected by nasa to complete a study for retrieving rock samples from the martian surface and bringing them to earth for the first time the mission would fulfill some of the highest priority solar system exploration goals for the science community to revolutionize humanitys understanding of mars potentially answer whether life ever existed on the martian surface and help prepare for the first human explorers to the red planet nasas rapid mission design studies for mars sample return solicits industry proposals to carry out rapid studies of mission designs and mission elements capable of delivering samples collected by the mars perseverance rover from the surface of mars to earth the results of this study will inform a potential update to nasas mars sample return program and may result in future procurements with industry rocket labs study will explore a simplified endtoend mission concept that would be delivered for a fraction of the current projected program cost and completed several years earlier than the current expected sample return date in 2040 retrieving samples from mars is one of the most ambitious and scientifically important endeavors humanity has ever embarked upon weve developed an innovative mission concept to make it happen affordably and on an accelerated schedule said rocket lab founder and ceo sir peter beck rocket lab has been methodically implementing a strategy for costeffective planetary science in recent years making us uniquely suited to deliver a low cost rapid mars sample return weve demonstrated this strategy by delivering a nasa mission to the moon enabling rendezvous and proximity operations in orbit successfully reentering a capsule from orbit to earth delivering two spacecraft to nasa for a mars mission and much more we look forward to bringing our proven capabilities together to deliver a compelling innovative mission solution that puts mars rocks in the hands of scientists sooner rocket labs proposed mission architecture will be revealed once the study is complete in the coming months about rocket lab founded in 2006 rocket lab is an endtoend space company with an established track record of mission success we deliver reliable launch services satellite manufacture spacecraft components and onorbit management solutions that make it faster easier and more affordable to access space headquartered in long beach california rocket lab designs and manufactures the electron small orbital launch vehicle a family of flightproven spacecraft and the company is developing the large neutron launch vehicle for constellation deployment since its
rocket lab usa incs nasdaqrklb high institutional ownership speaks for itself as stock continues to impress up 29 over last week,institutions substantial holdings in rocket lab usa implies that they have significant influence over the companys share price a total of 8 investors have a majority stake in the company with 50 ownership recent sales by insiders a look at the shareholders of rocket lab usa inc nasdaqrklb can tell us which group is most powerful and the group that holds the biggest piece of the pie are institutions with 36 ownership that is the group stands to benefit the most if the stock rises or lose the most if there is a downturn and things are looking up for institutional investors after the company gained us11b in market cap last week the gains from last week would have further boosted the oneyear return to shareholders which currently stand at 122 lets delve deeper into each type of owner of rocket lab usa beginning with the chart below view our latest analysis for rocket lab usa institutions typically measure themselves against a benchmark when reporting to their own investors so they often become more enthusiastic about a stock once its included in a major index we would expect most companies to have some institutions on the register especially if they are growing as you can see institutional investors have a fair amount of stake in rocket lab usa this implies the analysts working for those institutions have looked at the stock and they like it but just like anyone else they could be wrong when multiple institutions own a stock theres always a risk that they are in a crowded trade when such a trade goes wrong multiple parties may compete to sell stock fast this risk is higher in a company without a history of growth you can see rocket lab usas historic earnings and revenue below but keep in mind theres always more to the story hedge funds dont have many shares in rocket lab usa looking at our data we can see that the largest shareholder is khosla ventures llc with 13 of shares outstanding with 10 and 82 of the shares outstanding respectively equatorial trust and deer management company llc are the second and third largest shareholders on further inspection we found that more than half the companys shares are owned by the top 8 shareholders suggesting that the interests of the larger shareholders are balanced out to an extent by the smaller ones while studying institutional ownership for a company can add value to your research it is also a good practice to research analyst recommendations to get a deeper understand of a stocks expected performance there are a reasonable number of analysts covering the stock so it might be useful to find out their aggregate view on the future the definition of an insider can differ slightly between different countries but members of the board of directors always count management ultimately answers to the board however it is not uncommon for managers to be executive
keybanc lifts rocket labs price target to 11,keybanc capital markets has raised its price target on rocket lab rklb from 8 to 11 citing increased confidence in the companys ability to scale up market domination hostsjulie hymanandjosh liptonreport more on the move and rocket labs outlook for more expert insight and the latest market action clickhereto watch this full episode of market domination this post was written by melanie riehl
rocket lab completes second spacecraft for varda space industries advancing inspace manufacturing,long beach calif september 26 2024business wirerocket lab usa inc nasdaq rklb rocket lab or the company a global leader in launch services and space systems has completed testing and integration of its second pioneer spacecraft for varda space industries inc varda the worlds first inspace pharmaceutical processing and hypersonic earth reentry logistics company rocket labs first pioneer spacecraft for vardawas launched in june 2023 varda successfully crystallized the hiv drug ritonavir while on orbit and rocket lab and varda successfully landed thereentry capsulein the utah desert in february 2024 the company is now preparing vardas second mission during which rocket lab and varda will once again conduct inspace operations reentry positioning maneuvers and deorbiting to recover vardas capsule varda received permission from the faa under a part 450 license earlier this month making them the only company to ever secure a second reentry license designed and built at rocket labs spacecraft production complex and headquarters in long beach california thepioneer spacecraftwill provide power communications propulsion and attitude control for vardas 120 kg reentry capsule each pioneer spacecraft leverages the companys vertically integrated spacecraft components and subsystems including star trackers reaction wheels solar panels flight software and radios by leveraging rocket labs vertically integrated approach to spacecraft production we can rapidly develop and deliver the highly capable and reliable spacecraft that varda needs for their missions said rocket lab founder and ceo sir peter beck this close collaboration allows us to push the boundaries of innovation enabling varda to create highvalue products in microgravity and bring them back to earth were excited to work alongside varda as they revolutionize manufacturing processes and open new markets through space our partnership with rocket lab demonstrates the power of collaboration to evolve the orbital economy said varda ceo and cofounder will bruey each reentry is a remarkable milestone that paves the way for future innovations and the day when reentry is as common as launch rocket labs pioneer spacecraft is a flight proven highly configurable medium deltav platform designed to support large payloads reentry capabilities and dynamic space operations learn more about rocket lab and vardas partnershipvarda space industries rocket lab rocketlabusacom about rocket lab rocket lab is a global leader in launch and space systems rocket labs electron launch vehicle is the second most frequently launched us rocket annually and has delivered more than 197 satellites to orbit for commercial and government partners including nasa the us air force darpa and the nro rocket lab also delivers proven suborbital hypersonic launch capability
rocket lab successfully launches 53rd electron mission deploys another five satellites for kineis,mahia new zealand september 21 2024business wirerocket lab usa inc nasdaq rklb rocket lab or the company a global leader in launch services and space systems today successfully launched its 53rdelectron mission and deployed five satellites to low earth orbit for french internetofthings iot company kineis the kineis killed the radiot star lifted off from rocket lab launch complex 1 in mahia new zealand at 1101 am on 21 september nzst 2301 20 september utc successfully deploying five satellites to a 643 km orbit the mission was the second of five dedicated electron launches for kineis a company backed by private and public investors including the french governments space agency cnes centre national detudes spatiales and cls collecte localisation satellites an international spacebased solutions provider to improve global iot connectivity the kineis constellation is designed to make it possible to connect and locate any connected object anywhere in the world enabling data transmission to users in nearreal time at low bit rates and with very low energy consumption by enabling internet connection to the earths most remote locations kineis constellation can support forest fire detection water resource management infrastructure and energy network monitoring transport and logistics tracking and much more rocket lab founder and ceo sir peter beck said todays successful launch marks another milestone for rocket lab as we continue to enable innovative companies like kineis to push the boundaries of global iot connectivity with each mission we are bringing the world closer together allowing vital data to be transmitted from the remotest corners of the earth across 53 launches rocket lab has now deployed 197 satellites for a diverse range of customers and missions including nasa missions to the moon the national reconnaissance office and space force missions supporting national security and defense scientific research to combat climate change and commercial constellations providing vital data and services to millions of people on earth launch images launch webcast about rocket lab founded in 2006 rocket lab is an endtoend space company with an established track record of mission success we deliver reliable launch services satellite manufacture spacecraft components and onorbit management solutions that make it faster easier and more affordable to access space headquartered in long beach california rocket lab designs and manufactures the electron small orbital launch vehicle a family of flightproven spacecraft and the company is developing the large neutron launch vehicle for constellation deployment since its first orbital launch in january 2018 rocket labs electron launch vehicle has become the second most frequently launched us rocket annually and has delivered 197 satellites to orbit for private and public sector organizations enabling operations in national security scientific research space debris mitigation earth observation climate monitoring and communications rocket labs photon spacecraft platform
rocket lab appoints chief operations officer to support company growth,long beach calif september 10 2024business wirerocket lab usa inc nasdaq rklb rocket lab or the company a global leader in launch services and space systems today announced the appointment of frank klein as its new chief operations officer coo effective september 16th 2024 frank klein joins rocket lab with more than 30 years of international manufacturing experience and leadership in the automotive industry at rocket lab mr klein will lead the companys efforts to scale manufacturing of spacecraft launch vehicles and spacecraft components to meet growing customer demand of more than a billion dollars of backlog orders prior to joining the rocket lab team mr klein served daimler ag now mercedesbenz group for 27 years where he led various business divisions including vehicle research trucks cars and van manufacturing while vice president of mercedesbenz vans operations mr klein managed global production across 12 production sites heading up logistics industrial engineering and the divisions quality department with responsibility for more than 14000 employees globally mr klein also served as president of magna steyr ag the automotive industrys largest independent contract manufacturer with an annual turnover of more than us6 billion where he led operations across three continents and 13000 employees globally most recently mr klein served as coo at rivian automotive where he helped to transform rivian from a low volume automotive startup to a high volume premium electric vehicle manufacturer while responsible for 9000 employees rocket lab founder and ceo sir peter beck says frank is an experienced and seasoned leader in manufacturing and global operations who will bring vision and a strong wealth of knowledge in lean manufacturing and scaling to rocket lab at a pivotal time in our evolution as an endtoend space company im excited to have him join the team and support our increased electron launch and production cadence operationalize neutron and strengthen our satellite and space systems divisions mr klein says im incredibly excited about rocket lab this is an opportunity to leverage my deep experience and industry knowledge to cement efficient operations at the foundation of the companys scale and growth i am very much looking forward to joining the rocket lab team and bringing the best in production and operations practice from the automotive industry and applying it to this innovative and fastpaced company leading the future of aerospace mr klein holds a masters degree in electrical and industrial engineering from badenwuerttemberg cooperative state university stuttgart and a bachelors degree in business administration from fernuniversitat in hagen about rocket lab founded in 2006 rocket lab is an endtoend space company with an established track record of mission success we deliver reliable launch services satellite manufacture spacecraft components and onorbit management solutions that make it faster easier and more affordable to access space headquartered in long
rocket labs meteoric rise why this space stock is just getting started,satellite launch provider rocket labs usa inc nasdaqrklb has been one of the most actively traded stocks on the market it is coming off its most successful quarter yet marked by record topline growth and superb expansion in its backlog moreover buoyed by its rapid growth trajectory analysts are upbeat about its march toward breaking even additionally despite the impressive surge in value it still has room to run fueled by positive developments and potential interest rate cuts later in the year warning gurufocus has detected 9 warning signs with dte as we look ahead rocket labs skyward trajectory is tough to ignore its spectacular secondquarter showing was backed by the success of its small satellite launch vehicle electron with the upcoming launch of its neutron mediumlift rocket serving as a key catalyst moreover following its successful marsbound spacecraft dispatch expect further spikes in its value with that in mind lets dive deeper into the companys growth narrative and explore why it will continue rewarding its investors rocket lab was established in 2006 by engineer peter beck and has quickly established a leadership position in the aerospace industry the company designs and launches small satellites into space for clients to deliver data and other services moreover it builds rockets that effectively carry these satellites for various purposes like communication weather monitoring and scientific research since the getgo rocket labs sought to solidify its positioning in its niche by evolving into an endtoend space company rocket lab currently generates 7060 of its sales from the space systems segment and the remaining 2940 from its launch services division moreover with aims to encompass the entire space value chain we will likely see multiple new revenue streams emerge soon rocket labs secondquarter results were phenomenal reporting revenue of 106 million which was a 71 yearoveryear bump the results also marked the companys highest revenue quarter to date driven by a superb increase in launches and expansion in the space systems segment additionally it maintained a healthy backlog of 107 billion with 44 expected to be realized within the next year on the profitability front the company reported a loss of 5 cents per share but topped estimates by a couple of cents this mirrored results from the prioryear quarter when it posted identical earnings while surpassing expectations additionally despite the healthy expansion in sales rocket lab experienced a slight drop in gross margins despite the uninspiring bottomline showing the basic earnings per share stands at 38 cents but forward projections signal a positive shift forecasting a loss of 29 cents per share this year and an upswing to a loss of 19 cents in 2025 rocket labs outstanding performance was spearheaded by electron its small orbital launch vehicle electron is the most frequently launched rocket globally outside of spacex this year additionally
rocket lab sets launch date for second dedicated kineis mission to deploy iot constellation,the upcoming mission will be the second in a series of five dedicated electron launches for kineis designed to provide global internet of things iot accessibility worldwide long beach calif september 03 2024business wirerocket lab usa inc nasdaq rklb rocket lab or the company a global leader in launch services and space systems today announced it has set the launch window for its 53rdelectron launch the mission will be the second of five dedicated launches for the french company kineis the kineis killed the radiot star mission is scheduled to launch from rocket lab launch complex 1 in mahia new zealand during a 14day launch window that opens on september 17 2024 nzst this mission will launch just three months after theno time toulousemission kineis first launch with rocket lab kineis killed the radiot star will be the second of five dedicated electron launches for kineis a company backed by private and public investors including the french governments space agency cnes centre national detudes spatiales and cls collecte localisation satellites an international spacebased solutions provider to improve global internet of things iot connectivity kineis constellation will connect any object anywhere in the world and guarantee the transmission of targeted and useful data to users in nearreal time with low energy consumption with more powerful 30kgclass nanosats that integrate iot technology the constellation also includes a second mission a shiptracking automatic identification system ais once deployed these technologies will allow kineis to expand across multiple industries and scale from 20000 devices connected to millions the second constellation launch will add an additional five new satellites to its planned 25 and will enhance kineis ability to connect the planet and address essential challenges for humanity its activities and its environment were excited to welcome the kineis team on board electron again as we help them build out their constellation said rocket lab founder and ceo sir peter beck dedicated launch is key for the kind of precise orbital deployment requirements many constellation operators need so were proud to make that possible once again the kineis teams are ready to build on the success of the first launch they have capitalized on this first and delicate technical experience of putting our first five satellites into position and are delivering a real technical performance in managing the five new satellites simultaneously in addition to the five already in the air said alexandre tisserant chairman of kineis rocket labs electron launcher made a major contribution to this success thanks to the precision with which it injected our nanosatellites into their positions the iot revolution is underway thanks to our spacebased connectivity well be able to connect any object anywhere in the
former lockheed martin chief financial officer joins rocket lab board of directors,long beach calif august 22 2024business wirerocket lab usa inc nasdaq rklb rocket lab or the company a global leader in launch services and space systems today announced that kenneth ken possenriede has been appointed to the companys board of directors a seasoned executive with strong business and financial acumen mr possenriede joins rocket lab after a 35year career at lockheed martin corporation in financial leadership positions including serving as chief financial officer cfo kens deep aerospace and defense industry experience combined with accomplished financial leadership adds even more horsepower to rocket labs already impressive board lineup said rocket labs founder and chief executive officer sir peter beck were building the space company of the future here an endtoend space company that truly unleashes the potential of space as the next industrial revolution in human history ken played a key role in the growth and success of the traditional space model now were excited to have him help us build the future rocket lab has quickly but strategically risen to the ranks of global space leader and im incredibly excited to join the formidable team behind this says mr possenriede from the success of electron as the worlds leading small launcher and the impressive growth of rocket labs extensive space systems business to the impressive progress on neutron ive long admired rocket labs ability to execute and shake up the industry by overdelivering and outperforming i look forward to supporting this trajectory as the company executes on the vision to be the leading endtoend space company mr possenriede brings to rocket lab deep experience in capital markets customer relationships and scaling businesses prior to assuming the post of cfo and lockheed martin corporation mr possenriede served as vice president of finance and program management for lockheed martin aeronautics company where he was responsible for leading finances and program management processes including accounting contracts business management financial planning scheduling and earned value mr possenriede also served as vice president and treasurer for lockheed martin corporation in that role he was responsible for all aspects of the corporations worldwide banking activity including global treasury operations foreign exchange and capital markets rating agency relations capital planning facilities and risk management mr possenriede also served as lockheed martin corporations vice president of finance for the electronic systems organization where he was responsible for all aspects of the business units financial and contractual processes and commitments mr possenriede holds a master of business administration from the university of michigan and bachelors degree from rutgers university in economics he also currently serves as an advisor to the rutgers foundation board of directors about rocket lab rocket lab is a global leader in launch and space systems rocket labs electron launch
how to play the defense space now the playbook,ongoing geopolitical conflicts continue to escalate in europe and the middle east causing defense budgets for certain countries to increase with that increase comes defense spending but which companies can best capitalize on this momentum citi managing director aerospace and defense lead analyst jason gursky joins market domination to give insight into the defense sector and what investors need to know about the current environment gursky explains the defense sector is doing well as governments look to bolster and modernize their defenses as ongoing geopolitical conflicts escalate military modernization is the way to deter our potential enemies and thats what were seeing today were seeing rising budgets and the modernization of a lot of military kit he provides one of his lesser known picks for the industry transdigm tdg is a bit more of a commercial aerospace company they do provide quite a bit of parts that go into the defense industry but i think most investors like that one because of its exposure to the airline industry and by those that are buying new aircraft and and servicing those aircraft they have also been a serial acquirer rolling up a pretty fragmented industry watch the video above to hear why gursky also likes ducommun dco for more expert insight and the latest market action clickhereto watch this full episode of market domination this post was written bynicholas jacobino
rocket lab ceo we have the right combination to break spacexs monopoly,rocket lab rklb ceo peter beck has positioned himself as an outsider since the companys inception in 2006 a new zealand native with no college degree beck has long been seen as the antielon musk he often reminds employees we have no money so we have to think now with its neutron rocket a fully reusable mediumlift launch vehicle set to take off in mid2025 beck says he is poised to pose the most formidable threat to what he describes as a technical monopoly held by elon musk and spacex 50 of neutron is to break the monopoly thats in medium launch right now beck told yahoo finance 50 is to be able to launch our own stuff into orbit i think we have the right combination of expertise and execution to be a real competitor beck sees neutron as the last piece of the puzzle in an ongoing quest to build out an endtoend space company rocket lab already delivers launch services through its electron rocket builds spacecraft and satellite components and offers onorbit management yet despite those successes neutron presents the biggest opportunity to exert influence in the industry if rocket lab successfully carries out the launch according to its timeline it would mark the fastest time to market for a commercially developed mediumclass launch vehicle more importantly for beck it would inject new competition into a part of the industry spacex has largely had to itself nobody can compete with elon putting internet into space unless you have your own rocket and you have the ability to build whatever spacecraft you want beck said he added that the company feels very good about the launch date following a successful hot fire test of itsnew archimedes engine until recently launch vehicles have concentrated on small satellite launches withmore than 200 companiescurrently competing for business rocket labs electron has been a major player with nearly 200 satellites launched so far but spacex has maintained its lead through its smallsat rideshare program which utilizes larger payloads on its mediumheavy falcon 9 rocket coupled with aggressive pricing a regular falcon 9 launch carries a price tag of 3000 per kilogram while rocket lab offers launches at 22000 per kilogramaccording to forbes clayton swope deputy director for the aerospace security project at the center for strategic and international studies said mediumsize vehicles are more efficient enabling rocket makers to address a larger need in the market you could launch a 1000kilogram satellite via a small vehicle or you could launch a few of those or 10 of those or 15 of those via falcon 9 depending on the orbit swope said its just kind of a multipurpose workhorsetype size of vehicle thats very flexible and can
rocket lab rklb shares skyrocket what you need to know,shares of aerospace and defense company rocket lab nasdaqcmrklb jumped 193 in the morning session after the company announced that it had successfully launched and shipped two marsbound spacecraft to cape canaveral for the escapade heliophysics mission the spacecraft was designed for nasa and uc berkeley to measure plasma and magnetic fields around mars as part of efforts to study the planets climate evolution the announcement highlights the companys technical prowess and ability to win and execute similar contracts that should be accretive to its business is now the time to buy rocket labaccess our full analysis report here its free rocket labs shares are very volatile and over the last year have had 32 moves greater than 5 but moves this big are very rare even for rocket lab and that is indicating to us that this news had a significant impact on the markets perception of the business the previous big move we wrote about was 7 days ago when the stock gained 149 on the news that the company reported second quarter earnings results rocket lab blew past analysts eps expectations this quarter on the other hand its revenue guidance for next quarter missed and its ebitda guidance for next quarter fell short of wall streets estimates the market seemed to be looking past the weaker guidance and the stock rose as a result rocket lab is up 277 since the beginning of the year and at 680 per share has set a new 52week high when a company has more cash than it knows what to do with buying back its own shares can make a lot of senseas long as the price is right luckily weve found one a lowpriced stock that is gushing free cash flow and buying back sharesclick here to claim your special free report on a fallen angel growth story that is already recovering from a setback
rocket labnasa lincoln navigator burning man top stories,rocket lab usa rklb is shooting for the stars after sending two spacecraft to nasa headquarters in cape canaveral florida for a launch mission to mars the 2025 lincoln navigator the auto brand a subsidiary of ford f will feature a spa mode and invehicle entertainment features for gaming all expected to cost nearly 100000 burning man the black rock desert festival that has drawn the attention of silicon valley executives in recent years has reportedly not sold out for the first time since 2011 the weeklong event is scheduled to kick off sunday august 25 until monday september 2 for more expert insight and the latest market action clickhereto watch this full episode of catalysts this post was written byluke carberry mogan
rocket lab ships twin satellites to launch site for nasa mars mission,long beach calif august 16 2024business wirerocket lab usa inc nasdaq rklb rocket lab or the company a global leader in launch services and space systems has successfully packed and shipped two marsbound spacecraft to cape canaveral fl in preparation for launch these twin spacecraft for the escape and plasma acceleration and dynamics explorers escapade heliophysics mission were designed built integrated and tested by rocket lab for the university of california berkeleys space science laboratory and nasa the spacecraft known as blue and gold recently completedcomprehensive assembly integration and testat rocket labs spacecraft production complex and headquarters in long beach california following this milestone the rocket lab team conducted final closeout activities including the installation of spacecraft solar arrays and multilayer insulation mli blankets before they were packaged and shipped to florida for launch upon arrival at nasas kennedy space center ksc launch complex rocket lab team members will transfer the spacecraft to a cleanroom for posttransport inspections and tests following thorough checks the team will commence preparation for fueling the spacecraft in anticipation of their upcoming launch on blue origins new glenn rocket weve already been to the moon for nasa so were excited to build on that and send rocket lab technology deeper into the solar system this time to the red planet said rocket lab founder and ceo sir peter beck our space systems team has built a beautiful and highly capable pair of spacecraft to help nasa and the university of california berkeley further humanitys understanding of mars we couldnt be prouder to be an escapade mission partner enabling science and exploration missions beyond our planet after a meticulous but speedy build and test phase were excited to have blue and gold on their way to the cape and a step closer to mars the successful delivery of the spacecraft to kennedy space center marks a significant milestone and the culmination of over three years of dedicated teamwork from individuals across the project especially our partners at rocket lab said rob lillis escapade principal investigator and associate director for planetary science at the uc berkeley space sciences laboratory interplanetary spacecraft must be much more resilient than earth satellites and developing not one but two of these probes almost from scratch was no small feat time and again rocket labs agility and tireless efforts have impressed me exemplified by their frequent hero mode a saying we have on the project to troubleshoot and keep the project on course we couldnt ask for better partners in this endeavor now were thrilled to embark on this first step of our journey to mars once launched the escapade mission will measure plasma and magnetic fields around the red planet these observations will
analysts are updating their rocket lab usa inc nasdaqrklb estimates after its secondquarter results,its been a pretty great week forrocket lab usa incnasdaqrklb shareholders with its shares surging 15 to us537 in the week since its latest quarterly results it looks like the results were pretty good overall while revenues of us106m were in line with analyst predictions statutory losses were much smaller than expected with rocket lab usa losing us008 per share following the result the analysts have updated their earnings model and it would be good to know whether they think theres been a strong change in the companys prospects or if its business as usual weve gathered the most recent statutory forecasts to see whether the analysts have changed their earnings models following these results view our latest analysis for rocket lab usa taking into account the latest results the most recent consensus for rocket lab usa from eleven analysts is for revenues of us4263m in 2024 if met it would imply a substantial 30 increase on its revenue over the past 12 months pershare losses are predicted to creep up to us038 before this earnings announcement the analysts had been modelling revenues of us4341m and losses of us039 per share in 2024 the consensus price target was unchanged at us725 suggesting that the business losses and all is executing in line with estimates fixating on a single price target can be unwise though since the consensus target is effectively the average of analyst price targets as a result some investors like to look at the range of estimates to see if there are any diverging opinions on the companys valuation the most optimistic rocket lab usa analyst has a price target of us1000 per share while the most pessimistic values it at us450 this is a fairly broad spread of estimates suggesting that analysts are forecasting a wide range of possible outcomes for the business of course another way to look at these forecasts is to place them into context against theindustryitself its clear from the latest estimates that rocket lab usas rate of growth is expected to accelerate meaningfully with the forecast 70 annualised revenue growth to the end of 2024 noticeably faster than its historical growth of 52 pa over the past three years compare this with other companies in the same industry which are forecast to grow their revenue 27 annually it seems obvious that while the growth outlook is brighter than the recent past the analysts also expect rocket lab usa to grow faster than the wider industry the most important thing to take away is that the analysts reconfirmed their loss per share estimates for next year fortunately they also reconfirmed their revenue numbers suggesting that its tracking in line with
rocket lab successfully completes latest launch with capella space,the mission was the latest in a multilaunch contract with capella space to deploy a series of its acadia satellites to low earth orbit for its earthimaging constellation mahia new zealand august 11 2024business wirerocket lab usa inc nasdaq rklb rocket lab or the company a global leader in launch services and space systems today successfully launched its 52ndelectron rocket and deployed a single satellite to low earth orbit for capella space capella the mission named a sky full of sars in a nod to the synthetic aperture radar sar capabilities of capellas spacecraft lifted off at 0118 am new zealand standard time on august 12thfrom launch complex 1 rocket labs private orbital launch site on new zealands mahia peninsula the mission deployed the next of capellas thirdgeneration sar acadia satellites to a midinclination 615km low earth orbit in addition to the launch service rocket lab provided a custom extended fairing on electron to encompass the payload before capellas satellite was deployed to space from a rocket labproduced separation system the mission was the fifth launch for capella thats taken place since capellas first mission on electron in august 2020 that mission called i cant believe its not optical launched from launch complex 1 to deploy the very first satellite in capellas sar constellation subsequent successful missions include the stronger together mission launched for capella from rocket labs launch complex 2 on wallops island virginia in march 2023 and the we love the nightlife mission launched from launch complex 1 in new zealand just five months later in august 2023 rocket lab founder and ceo peter beck says electron is a reliable constellation builder providing precise and dedicated deployment to unique orbits that allows satellite operators like capella to iteratively build out their constellation when and where they need to im proud of the team for delivering this latest successful mission for capella and for successfully delivering nine missions so far this year as electrons launch cadence continues to ramp up with many more missions scheduled in the coming weeks and months we look forward to delivering our busiest launch year yet in 2024 the launch window for rocket labs next electron mission will be announced in the coming days most recently rocket lab announced a record ten launch contract with japanese earth observation company synspective with another two launches in addition to that contract already booked and scheduled for launch on electron this year other satellite operators expected to launch this year under existing multilaunch contracts with rocket lab include spacebased intelligence company blacksky and french internetofthings iot company kineis about rocket lab founded in 2006 rocket lab is an
rocket lab usa second quarter 2024 earnings eps beats expectations,revenue us1063m up 71 from 2q 2023 net loss us416m loss narrowed by 93 from 2q 2023 us0084 loss per share improved from us0096 loss in 2q 2023 all figures shown in the chart above are for the trailing 12 month ttm period revenue was in line with analyst estimates earnings per share eps surpassed analyst estimates by 21 looking ahead revenue is forecast to grow 30 pa on average during the next 3 years compared to a 27 growth forecast for the aerospace defense industry in the us performance of theamerican aerospace defense industry the companys shares are up 12 from a week ago you still need to take note of risks for example rocket lab usa has2 warning signswe think you should be aware of have feedback on this article concerned about the contentget in touchwith us directlyalternatively email editorialteam at simplywallstcomthis article by simply wall st is general in naturewe provide commentary based on historical data and analyst forecasts only using an unbiased methodology and our articles are not intended to be financial adviceit does not constitute a recommendation to buy or sell any stock and does not take account of your objectives or your financial situation we aim to bring you longterm focused analysis driven by fundamental data note that our analysis may not factor in the latest pricesensitive company announcements or qualitative material simply wall st has no position in any stocks mentioned
rocket lab stock soars on engine test q2 results,shares of rocket lab rklb are jumping after reporting it fired its archimedes rocket engine for the first time the company also posted its second quarter results revealing it saw record revenue with sales increasing more than 70 yearoveryear catalyst anchorsmadison millsandseana smithbreak down the latest developments with rocket lab and how it may operate moving forward for more expert insight and the latest market action clickhereto watch this full episode of catalysts this post was written bynicholas jacobino
rocket lab begins installation of large carbon composite rocketbuilding machine,the 90tonne automated fiber placement afp machine has been customdesigned and built for rocket lab and is expected to save around 150000 manufacturing hours in the neutron rockets production process long beach calif august 08 2024business wirerocket lab usa inc nasdaq rklb rocket lab or the company a global leader in launch services and space systems today announced it has begun installation of the largest automated fiber placement afp machine of its kind into the companys neutron rocket production line in middle river md the afp machine will enable rocket lab to automate production of the largest carbon composite rocket structures in history the custombuilt 99 ton 90 tonne 39 ft tall 12meter robotic machine americanmade by electroimpact in washington has just completed final acceptance testing with the manufacturer and installation has begun at rocket labs space structures complex in middle river maryland the new machine will automate the production of all large composite structures of the neutron launch vehicle including the panels that make up the 91 ft 28 meter length interstage and fairing 229 ft 7 meter diameter first stage and the 164 ft 5 meter diameter second stage tank the autonomous machine can move up to 98 ft 30 meters in length and lay down continuous carbon fiber composite at a rate of 328 ft 100 meters per minute the afp machine also has a fully automated realtime inspection system that hunts for miniscule defects throughout the laminated carbon composite and alerts the machine operator of any issues before the machine begins laying down the next layer providing additional assurance that these critical structures of the launch vehicle meet rocket labs highquality standards required for reusable neutron launches as neutrons carbon composite structures move into fullscale production this autonomous machine is expected to introduce significant timesavings of 150000 manufacturing hours into the production process rocket lab founder and ceo sir peter beck says as we build the worlds largest carbon composite rocket it makes sense that we require a worldfirst carbon composite fiber placement machine were combining our proprietary flightproven carbon composite technology additive manufacturing and autonomous robotics to design and build largescale aerospace components at a pace that will support not only neutrons launch cadence but support electron and carbon composites structures for our spacecraft customers too we worked closely with our excellent partners at electroimpact to create this robot and were thrilled with the results its an innovative machine producing a nextgeneration rocket from one of the birthplaces of the aerospace industry in baltimore and we cant wait to see its first carbon composite printed panels come off the production line soon the afp machine will also be
